상품종류,단축코드,표준코드, 한글종목명, ATM구분, 행사가, 월물구분코드, 기초자산 단축코드, 기초자산 명
5,201W06292,KR4201W62921,C 202506 292.5,2,292.5,,2001,KOSPI200
5,201W06295,KR4201W62954,C 202506 295.0,2,295,,2001,KOSPI200
5,201W06297,KR4201W62970,C 202506 297.5,2,297.5,,2001,KOSPI200
5,201W06300,KR4201W63002,C 202506 300.0,2,300,,2001,KOSPI200
5,201W06302,KR4201W63028,C 202506 302.5,2,302.5,,2001,KOSPI200
5,201W06305,KR4201W63051,C 202506 305.0,2,305,,2001,KOSPI200
5,201W06307,KR4201W63077,C 202506 307.5,2,307.5,,2001,KOSPI200
5,201W06310,KR4201W63101,C 202506 310.0,2,310,,2001,KOSPI200
5,201W06312,KR4201W63127,C 202506 312.5,2,312.5,,2001,KOSPI200
5,201W06315,KR4201W63150,C 202506 315.0,2,315,,2001,KOSPI200
5,201W06317,KR4201W63176,C 202506 317.5,2,317.5,,2001,KOSPI200
5,201W06320,KR4201W63200,C 202506 320.0,2,320,,2001,KOSPI200
5,201W06322,KR4201W63226,C 202506 322.5,2,322.5,,2001,KOSPI200
5,201W06325,KR4201W63259,C 202506 325.0,2,325,,2001,KOSPI200
5,201W06327,KR4201W63275,C 202506 327.5,2,327.5,,2001,KOSPI200
5,201W06330,KR4201W63309,C 202506 330.0,2,330,,2001,KOSPI200
5,201W06332,KR4201W63325,C 202506 332.5,2,332.5,,2001,KOSPI200
5,201W06335,KR4201W63358,C 202506 335.0,2,335,,2001,KOSPI200
5,201W06337,KR4201W63374,C 202506 337.5,2,337.5,,2001,KOSPI200
5,201W06340,KR4201W63408,C 202506 340.0,2,340,,2001,KOSPI200
5,201W06342,KR4201W63424,C 202506 342.5,2,342.5,,2001,KOSPI200
5,201W06345,KR4201W63457,C 202506 345.0,2,345,,2001,KOSPI200
5,201W06347,KR4201W63473,C 202506 347.5,2,347.5,,2001,KOSPI200
5,201W06350,KR4201W63507,C 202506 350.0,1,350,,2001,KOSPI200
5,201W06352,KR4201W63523,C 202506 352.5,3,352.5,,2001,KOSPI200
5,201W06355,KR4201W63556,C 202506 355.0,3,355,,2001,KOSPI200
5,201W06357,KR4201W63572,C 202506 357.5,3,357.5,,2001,KOSPI200
5,201W06360,KR4201W63606,C 202506 360.0,3,360,,2001,KOSPI200
5,201W06362,KR4201W63622,C 202506 362.5,3,362.5,,2001,KOSPI200
5,201W06365,KR4201W63655,C 202506 365.0,3,365,,2001,KOSPI200
5,201W06367,KR4201W63671,C 202506 367.5,3,367.5,,2001,KOSPI200
5,201W06370,KR4201W63705,C 202506 370.0,3,370,,2001,KOSPI200
5,201W06372,KR4201W63721,C 202506 372.5,3,372.5,,2001,KOSPI200
5,201W06375,KR4201W63754,C 202506 375.0,3,375,,2001,KOSPI200
5,201W06377,KR4201W63770,C 202506 377.5,3,377.5,,2001,KOSPI200
5,201W06380,KR4201W63804,C 202506 380.0,3,380,,2001,KOSPI200
5,201W06382,KR4201W63820,C 202506 382.5,3,382.5,,2001,KOSPI200
5,201W06385,KR4201W63853,C 202506 385.0,3,385,,2001,KOSPI200
5,201W06387,KR4201W63879,C 202506 387.5,3,387.5,,2001,KOSPI200
5,201W06390,KR4201W63903,C 202506 390.0,3,390,,2001,KOSPI200
5,201W06392,KR4201W63929,C 202506 392.5,3,392.5,,2001,KOSPI200
5,201W06395,KR4201W63952,C 202506 395.0,3,395,,2001,KOSPI200
5,201W06397,KR4201W63978,C 202506 397.5,3,397.5,,2001,KOSPI200
5,201W06400,KR4201W64000,C 202506 400.0,3,400,,2001,KOSPI200
5,201W06402,KR4201W64026,C 202506 402.5,3,402.5,,2001,KOSPI200
5,201W06405,KR4201W64059,C 202506 405.0,3,405,,2001,KOSPI200
5,201W06407,KR4201W64075,C 202506 407.5,3,407.5,,2001,KOSPI200
5,201W06410,KR4201W64109,C 202506 410.0,3,410,,2001,KOSPI200
5,201W06412,KR4201W64125,C 202506 412.5,3,412.5,,2001,KOSPI200
5,201W06415,KR4201W64158,C 202506 415.0,3,415,,2001,KOSPI200
5,201W06417,KR4201W64174,C 202506 417.5,3,417.5,,2001,KOSPI200
5,201W06420,KR4201W64208,C 202506 420.0,3,420,,2001,KOSPI200
5,201W06422,KR4201W64224,C 202506 422.5,3,422.5,,2001,KOSPI200
5,201W06425,KR4201W64257,C 202506 425.0,3,425,,2001,KOSPI200
5,201W06427,KR4201W64273,C 202506 427.5,3,427.5,,2001,KOSPI200
5,201W06430,KR4201W64307,C 202506 430.0,3,430,,2001,KOSPI200
5,201W06432,KR4201W64323,C 202506 432.5,3,432.5,,2001,KOSPI200
