stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,hts_otst_stpl_qty,otst_stpl_qty_icdc,code,trade_date,collection_time
2025-04-14 00:00:00,31.45,31.45,31.45,31.45,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-04-11 00:00:00,28.2,28.2,28.2,28.2,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-04-10 00:00:00,40.95,40.95,40.95,40.95,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-04-09 00:00:00,37.85,37.85,37.85,37.85,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-04-08 00:00:00,44.25,44.25,44.25,44.25,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-04-07 00:00:00,26.8,26.8,26.8,26.8,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-04-04 00:00:00,26.1,26.1,26.1,26.1,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-04-03 00:00:00,24.5,24.5,24.5,24.5,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-04-02 00:00:00,24.2,24.2,24.2,24.2,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-04-01 00:00:00,25.35,25.35,25.35,25.35,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-31 00:00:00,21.2,21.2,21.2,21.2,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-28 00:00:00,20.45,20.45,20.45,20.45,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-27 00:00:00,19.65,19.65,19.65,19.65,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-26 00:00:00,19.65,19.65,19.65,19.65,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-25 00:00:00,19.7,19.7,19.7,19.7,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-24 00:00:00,19.65,19.65,19.65,19.65,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-21 00:00:00,19.6,19.6,19.6,19.6,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-20 00:00:00,20.35,20.35,20.35,20.35,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-19 00:00:00,20.4,20.4,20.4,20.4,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-18 00:00:00,20.85,20.85,20.85,20.85,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-17 00:00:00,22.0,22.0,22.0,22.0,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-14 00:00:00,23.1,23.1,23.1,23.1,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-13 00:00:00,23.1,23.1,23.1,23.1,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-12 00:00:00,24.1,24.1,24.1,24.1,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-11 00:00:00,22.15,22.15,22.15,22.15,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-10 00:00:00,21.95,21.95,21.95,21.95,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-07 00:00:00,21.25,21.25,21.25,21.25,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-06 00:00:00,22.15,22.15,22.15,22.15,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-05 00:00:00,23.45,23.45,23.45,23.45,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-03-04 00:00:00,22.85,22.85,22.85,22.85,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-28 00:00:00,19.3,19.3,19.3,19.3,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-27 00:00:00,19.95,19.95,19.95,19.95,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-26 00:00:00,19.6,19.6,19.6,19.6,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-25 00:00:00,19.5,19.5,19.5,19.5,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-24 00:00:00,18.65,18.65,18.65,18.65,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-21 00:00:00,18.65,18.65,18.65,18.65,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-20 00:00:00,18.5,18.5,18.5,18.5,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-19 00:00:00,17.9,17.9,17.9,17.9,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-18 00:00:00,18.05,18.05,18.05,18.05,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-17 00:00:00,17.7,17.7,17.7,17.7,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-14 00:00:00,18.05,18.05,18.05,18.05,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-13 00:00:00,18.8,18.8,18.8,18.8,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-12 00:00:00,19.3,19.3,19.3,19.3,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-11 00:00:00,19.95,19.95,19.95,19.95,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-10 00:00:00,19.3,19.3,19.3,19.3,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-07 00:00:00,19.1,19.1,19.1,19.1,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-06 00:00:00,20.05,20.05,20.05,20.05,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-05 00:00:00,20.9,20.9,20.9,20.9,0,0,N,18,1,104W06,2025-06-05,20:19:48
2025-02-04 00:00:00,22.1,22.1,22.1,22.1,0,0,N,18,1,104W06,2025-06-05,20:19:48
